rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
75,Paul George,34,PHI,PF,28,28,32.60,6.20,14.70,.423,2.40,6.60,.355,3.90,8.00,.480,.504,2.20,2.60,.824,0.70,5.10,5.80,4.90,1.80,0.40,2.70,2.60,17.00
76,Jonathan Kuminga,22,GSW,PF,32,10,26.00,6.10,13.20,.459,1.30,3.60,.345,4.80,9.60,.502,.506,3.40,5.30,.639,1.40,3.60,5.00,2.20,0.90,0.60,1.60,1.90,16.80
77,Andrew Wiggins,29,GSW,SF,36,36,29.40,5.90,13.20,.447,2.10,5.60,.383,3.80,7.60,.495,.528,2.90,3.70,.782,1.50,3.00,4.50,2.30,0.90,0.80,1.30,1.70,16.80
78,Keyonte George,21,UTA,PG,31,31,31.50,5.50,14.10,.394,2.80,8.00,.348,2.80,6.10,.453,.492,2.70,3.40,.798,0.50,2.90,3.40,5.60,0.80,0.20,3.00,1.80,16.50
79,Chet Holmgren,22,OKC,C,10,10,26.50,5.60,11.10,.505,1.40,3.70,.378,4.20,7.40,.568,.568,3.80,4.90,.776,1.60,7.10,8.70,2.00,0.80,2.60,2.30,1.80,16.40
80,Jalen Suggs,23,ORL,PG,34,34,29.00,5.70,13.90,.410,2.20,7.00,.312,3.50,6.90,.508,.488,2.90,3.10,.907,0.70,3.40,4.10,3.70,1.50,1.00,2.90,2.70,16.40
81,Bennedict Mathurin,22,IND,SG,42,37,32.60,5.70,12.40,.463,1.50,4.20,.358,4.20,8.20,.517,.524,3.30,4.10,.819,1.20,4.80,6.00,2.00,0.60,0.40,2.10,2.60,16.30
82,Devin Vassell,24,SAS,SG,26,15,29.70,6.10,13.90,.438,2.30,6.20,.366,3.80,7.70,.495,.519,1.80,2.40,.774,0.80,3.00,3.80,3.10,1.20,0.50,1.70,1.60,16.30
83,Immanuel Quickley,25,TOR,PG,9,9,28.40,5.30,14.10,.378,2.20,6.40,.345,3.10,7.70,.406,.457,3.30,3.60,.938,0.10,2.10,2.20,6.10,0.70,0.10,1.80,1.80,16.20
84,Malik Beasley,28,DET,SG,43,11,28.10,5.70,13.30,.424,3.70,9.20,.396,2.00,4.10,.486,.561,1.20,1.70,.694,0.50,2.40,2.90,1.80,0.90,0.00,1.10,1.40,16.10
85,Gradey Dick,21,TOR,SG,37,37,30.50,5.50,13.30,.414,2.30,6.70,.348,3.20,6.60,.480,.501,2.80,3.20,.880,0.70,2.60,3.30,2.10,0.80,0.20,1.60,2.20,16.10
86,OG Anunoby,27,NYK,PF,45,45,36.70,6.00,12.80,.471,2.00,5.80,.344,4.00,7.00,.576,.549,1.90,2.40,.806,1.30,3.50,4.80,2.00,1.40,0.90,1.40,2.40,16.00
87,Jordan Clarkson,32,UTA,SG,22,3,25.50,5.40,13.10,.413,1.90,5.50,.339,3.50,7.60,.467,.484,3.30,4.10,.811,0.60,2.70,3.40,3.80,0.90,0.30,2.50,1.50,16.00
88,Derrick White,30,BOS,SG,41,41,33.70,5.50,12.60,.436,3.30,8.90,.371,2.20,3.80,.591,.567,1.70,2.00,.829,0.90,3.50,4.40,4.10,0.90,1.30,1.70,2.00,16.00
89,Bam Adebayo,27,MIA,C,41,41,33.50,6.00,13.20,.455,0.70,2.50,.272,5.30,10.70,.498,.481,2.90,4.00,.720,2.40,7.30,9.70,4.50,1.40,0.80,2.10,2.10,15.60
90,Myles Turner,28,IND,C,40,40,31.20,5.60,11.40,.490,2.10,5.10,.404,3.60,6.40,.559,.580,2.20,3.00,.739,1.40,5.70,7.10,1.50,0.80,2.00,2.00,2.90,15.50
91,Jared McCain,20,PHI,SG,23,8,25.70,5.50,11.90,.460,2.20,5.80,.383,3.30,6.10,.532,.553,2.10,2.40,.875,0.60,1.90,2.40,2.60,0.70,0.00,1.60,1.60,15.30
92,Dennis Schröder,31,2TM,SG,40,40,31.00,5.30,12.70,.418,2.00,5.80,.351,3.30,7.00,.475,.498,2.40,2.80,.866,0.30,2.30,2.50,5.60,1.00,0.20,2.30,2.50,15.10
