geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Eastern Visayas,Other reservation service and related activities,21,289,283,7,269497,261493,43495,217998,62868,0,70,0,0
Eastern Visayas,Private security activities,4,482,479,0,58871,49837,44319,5518,53907,54,2,0,0
Eastern Visayas,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Cleaning activities,3,18,18,0,8726,6127,1460,4667,6548,0,-7,0,0
Eastern Visayas,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Office administrative and support activities,27,203,203,0,46014,40040,13971,26069,81023,0,-54845,0,0
Eastern Visayas,Call centers and other related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Business support service activities, n.e.c.",4,43,43,0,15473,7677,4878,2799,13890,0,77,0,0
Zamboanga Peninsula,Administrative and Support Service Activities,74,3663,3656,0,2520268,2402852,438128,1964723,586980,27887,60905,0,0
Zamboanga Peninsula,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Renting and leasing of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Activities of employment placement agencies,19,181,181,0,1161762,1118831,15321,1103510,65163,0,41781,0,0
