by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42336725813213 37.75757006215989)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42638170958058 37.764645687155834)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42410268505228 37.764783451283925)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42277526855469 37.7640380859375)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42395924405315 37.76316782362078)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4239265643018 37.762341011713026)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42240905761719 37.76165008544922)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42241142068325 37.76165021917327)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42364130874256 37.75996737508222)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42364501953125 37.75996780395508)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4250259399414 37.76148986816406)
2020-04-01T00:00:00.000,Larceny Theft,Mission,2,POINT (-122.42361450195312 37.75916290283203)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42348853246601 37.75836454766479)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4205093383789 37.758544921875)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42127173012831 37.758498507780814)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42135541826262 37.759372452792256)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41905260777229 37.75863256660654)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4168701171875 37.75876235961914)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41811812009416 37.7603010605011)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41920604493745 37.7602353540718)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42157745361328 37.76169967651367)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42157840187744 37.761700908167974)
2020-04-01T00:00:00.000,Larceny Theft,Mission,3,POINT (-122.41944122314453 37.76271438598633)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41944373685448 37.76271286580887)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41848397609654 37.76349643380175)
2020-04-01T00:00:00.000,Larceny Theft,Mission,2,POINT (-122.4204330444336 37.76337432861328)
2020-04-01T00:00:00.000,Larceny Theft,Mission,2,POINT (-122.4217300415039 37.76329803466797)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42189025878906 37.76491928100586)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42047882080078 37.7650032043457)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42057800292969 37.76499557495117)
2020-04-01T00:00:00.000,Larceny Theft,Mission,4,POINT (-122.41966897380142 37.76505133632968)
2020-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.41748809814453 37.76518249511719)
