geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Northern Mindanao,Legal activities,34,102,102,0,52747,34699,18850,15849,38981,223,0,0,0
Northern Mindanao,"Accounting, bookkeeping and auditing activities;  tax consultancy",15,151,151,0,84366,70293,18934,51359,27732,25284,-39,0,0
Northern Mindanao,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Management consultancy activities,3,69,69,0,44408,40035,35383,4652,39351,9637,36,0,0
Northern Mindanao,Architectural and engineering activities  and related technical consultancy,9,260,254,0,277421,259425,25414,234011,61029,27324,-1888,0,0
Northern Mindanao,Technical testing and analysis,23,178,178,0,123175,112670,52218,60452,70885,6541,-547,0,0
Northern Mindanao,Research and experimental development  on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Research and experimental development  on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Research and experimental development  in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Advertising,11,122,122,40,115991,92354,19357,72997,49067,14864,0,0,0
Northern Mindanao,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Photographic activities,23,45,45,23,5139293,5042546,15756,5026790,345057,1342151,241102,0,0
Northern Mindanao,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Professional, Scientific and Technical Activities",339,5408,5339,0,6230743,3567045,1514371,2052675,3613779,17582,11532,0,0
Davao Region,Legal activities,76,424,355,0,136632,120318,53133,67184,95526,0,0,0,0
Davao Region,"Accounting, bookkeeping and auditing activities;  tax consultancy",41,1728,1728,0,683166,465621,314005,151616,548228,340,0,0,0
